,resnum,native_ss,pre_ss,native_rsa,pre_rsa,Target
0,2,2,2,57.5,65,T1024
1,3,0,2,51.1,50,T1024
2,4,0,0,46.8,10,T1024
3,5,0,2,31.2,45,T1024
4,6,0,2,90.3,65,T1024
5,7,2,2,12.5,15,T1024
6,8,2,2,45.1,40,T1024
7,9,0,0,74.7,50,T1024
8,10,0,0,3.0,35,T1024
9,11,0,0,0.5,0,T1024
10,12,0,0,25.2,20,T1024
11,13,0,0,12.0,0,T1024
12,14,0,0,2.8,10,T1024
13,15,0,0,5.4,0,T1024
14,16,0,0,34.8,0,T1024
15,17,0,0,2.0,0,T1024
16,18,0,0,0.4,15,T1024
17,19,0,0,31.2,5,T1024
18,20,0,0,24.1,5,T1024
19,21,0,0,20.6,20,T1024
20,22,0,0,8.1,25,T1024
21,23,0,0,17.5,20,T1024
22,24,0,0,3.9,15,T1024
23,25,0,0,51.3,20,T1024
24,26,0,0,2.7,20,T1024
25,27,0,0,2.1,15,T1024
26,28,0,0,0.2,15,T1024
27,29,0,0,23.7,15,T1024
28,30,0,0,50.6,10,T1024
29,31,0,0,15.1,15,T1024
30,32,0,0,3.9,10,T1024
31,33,0,0,39.2,0,T1024
32,34,0,0,60.9,5,T1024
33,35,0,0,3.6,10,T1024
34,36,0,0,4.7,0,T1024
35,37,0,0,48.5,15,T1024
36,38,0,0,75.2,30,T1024
37,39,0,0,44.3,40,T1024
38,40,2,2,13.8,20,T1024
39,41,2,2,43.5,35,T1024
40,42,0,0,73.1,25,T1024
41,43,0,0,75.4,25,T1024
42,44,0,0,34.3,15,T1024
43,45,0,0,4.0,5,T1024
44,46,0,0,49.3,0,T1024
45,47,0,0,61.4,0,T1024
46,48,0,0,3.4,0,T1024
47,49,0,0,42.1,0,T1024
48,50,0,0,47.8,5,T1024
49,51,0,0,50.9,5,T1024
50,52,0,0,22.0,15,T1024
51,53,0,0,59.6,10,T1024
52,54,0,0,61.0,10,T1024
53,55,0,0,21.5,5,T1024
54,56,0,0,22.2,10,T1024
55,57,0,0,32.2,10,T1024
56,58,0,0,44.1,10,T1024
57,59,0,0,0.0,0,T1024
58,60,0,0,1.3,10,T1024
59,61,0,0,22.3,10,T1024
60,62,0,0,31.8,15,T1024
61,63,0,0,0.0,5,T1024
62,64,0,2,0.0,10,T1024
63,65,0,0,12.4,25,T1024
64,66,0,0,35.0,0,T1024
65,67,0,0,0.1,5,T1024
66,68,0,0,9.0,20,T1024
67,69,0,0,57.9,35,T1024
68,70,2,2,40.1,15,T1024
69,71,2,2,12.1,40,T1024
70,72,0,2,0.0,35,T1024
71,73,0,0,24.5,35,T1024
72,74,0,0,46.6,30,T1024
73,75,0,0,5.9,0,T1024
74,76,0,0,0.5,0,T1024
75,77,0,0,18.8,0,T1024
76,78,0,0,49.5,5,T1024
77,79,0,0,0.0,0,T1024
78,80,0,0,0.0,15,T1024
79,81,0,0,49.5,10,T1024
80,82,0,0,15.3,10,T1024
81,83,0,0,6.6,20,T1024
