Model_name,Sato-3DCNN,without_ss_rsa
T1040TS013_1,0.5100433,0.26185322
T1040TS013_2,0.53041077,0.22145826
T1040TS013_3,0.4039718,0.3676682
T1040TS013_4,0.5290366999999999,0.28837633
T1040TS013_5,0.38908532,0.30197912
T1040TS031_1,0.36383292,0.1354312
T1040TS031_2,0.39083618,0.18663825
T1040TS031_3,0.35721108,0.12129429
T1040TS031_4,0.37599286,0.12384629
T1040TS031_5,0.30959767,0.12597138
T1040TS042_1,0.2438197,0.09680811
T1040TS042_2,0.22313151,0.07433469599999999
T1040TS042_3,0.30783692,0.09338478
T1040TS042_4,0.32691658,0.19190407
T1040TS042_5,0.2954602,0.07816492
T1040TS050_1,0.28957552,0.06657033
T1040TS050_4,0.27752343,0.04559853
T1040TS052_1,0.17738552,0.065627426
T1040TS052_2,0.13098457,0.066200785
T1040TS052_3,0.11573639,0.053519454
T1040TS052_4,0.21807264,0.0915827
T1040TS052_5,0.15029164,0.08308492599999999
T1040TS070_1,0.10222553,0.05311172
T1040TS070_2,0.13745269,0.06272872
T1040TS070_3,0.29681063,0.04991601
T1040TS070_4,0.34016111,0.057421625
T1040TS070_5,0.16878076,0.06903174
T1040TS075_1,0.33803612,0.094216235
T1040TS075_2,0.34926242,0.10562402
T1040TS075_3,0.383002,0.095304444
T1040TS075_4,0.44955233,0.11777398
T1040TS075_5,0.47262475,0.20636071
T1040TS097_1,0.31074804,0.09617327
T1040TS097_2,0.21503346,0.057999097
T1040TS097_3,0.26611394,0.09937553
T1040TS097_4,0.21967052,0.052315757000000004
T1040TS097_5,0.2874651,0.058333207000000005
T1040TS138_1,0.25940803,0.08546768
T1040TS138_2,0.28899506,0.093808584
T1040TS138_4,0.22742203,0.08287897
T1040TS140_1,0.23380208,0.046853865999999994
T1040TS140_2,0.20378283,0.047023925999999994
T1040TS140_3,0.22729048,0.04843402
T1040TS140_4,0.21286479999999997,0.050833084
T1040TS140_5,0.22710589999999997,0.05970646
T1040TS151_1,0.09623287,0.019561702
T1040TS151_2,0.0752837,0.013782053999999998
T1040TS151_3,0.064827286,0.017596878
T1040TS151_4,0.27674829999999995,0.07774933
T1040TS183_1,0.3686682,0.053006917
T1040TS183_2,0.44100020000000006,0.07313975
T1040TS183_3,0.5615104999999999,0.07973358
T1040TS183_4,0.3497841,0.12013759
T1040TS183_5,0.32718188,0.06710187
T1040TS187_1,0.37050766,0.11780226
T1040TS187_2,0.339436,0.09292378
T1040TS187_3,0.3881177,0.08986001
T1040TS187_4,0.25259940000000003,0.06377505
T1040TS187_5,0.2221432,0.047091004000000006
T1040TS198_1,0.45323563,0.16505583
T1040TS198_2,0.3809349,0.08680572
T1040TS198_3,0.38973594,0.10099079
T1040TS198_4,0.44772172,0.12266256
T1040TS198_5,0.5005092000000001,0.1808715
T1040TS209_1,0.5893742,0.21883316
T1040TS209_2,0.5911478,0.24311474
T1040TS209_3,0.5952006999999999,0.24395871
T1040TS209_4,0.51754457,0.20180412
T1040TS209_5,0.45337299999999997,0.095591195
T1040TS222_1,0.32480487,0.08594428
T1040TS222_2,0.41532493,0.108263545
T1040TS222_3,0.31858882,0.09340866
T1040TS222_4,0.38731912,0.080359794
T1040TS222_5,0.33270293,0.05642725
T1040TS226_1,0.39421090000000003,0.14049743
T1040TS226_2,0.41673133,0.15975031
T1040TS226_3,0.37686512,0.14664029
T1040TS226_4,0.39350396,0.18654233
T1040TS226_5,0.42915398,0.19651672
T1040TS238_1,0.2648778,0.07339074
T1040TS238_2,0.32718188,0.06710187
T1040TS238_3,0.3630281,0.07393711
T1040TS238_4,0.24014000000000002,0.08505132
T1040TS238_5,0.46322224,0.0633045
T1040TS252_1,0.34945086,0.10477605
T1040TS252_2,0.40541974,0.13464451
T1040TS252_3,0.40871686,0.13367787
T1040TS252_4,0.27342483,0.051297132
T1040TS252_5,0.20269413,0.06489531
T1040TS259_1,0.332231,0.16888681
T1040TS259_2,0.25048846,0.20028166
T1040TS259_3,0.23614156,0.10780497
T1040TS259_4,0.15003473,0.073078744
T1040TS259_5,0.29470292,0.15323399999999998
T1040TS278_2,0.44313148,0.16104862
T1040TS278_3,0.38869882,0.12103429
T1040TS278_4,0.36043718,0.12803718
T1040TS317_1,0.13047291,0.07083253
T1040TS317_3,0.21316625,0.098110184
T1040TS317_5,0.18340416,0.07539829
T1040TS319_1,0.40541974,0.13464451
T1040TS319_2,0.36232442,0.07848515
T1040TS319_3,0.25599867,0.077571265
T1040TS319_4,0.30895808,0.077835664
T1040TS319_5,0.2835739,0.1072022
T1040TS324_1,0.2750553,0.12654462
T1040TS324_2,0.3572518,0.12544273
T1040TS324_3,0.36681563,0.11405730000000001
T1040TS324_4,0.42666814,0.1520866
T1040TS324_5,0.28883624,0.13679612
T1040TS326_1,0.36329657,0.0868188
T1040TS326_2,0.34497917,0.09470239999999999
T1040TS326_3,0.3589463,0.07464024
T1040TS326_4,0.40174243,0.20165357
T1040TS326_5,0.38179222,0.13687539
T1040TS337_4,0.19752884,0.030808354
T1040TS351_1,0.6087140999999999,0.17994438
T1040TS351_2,0.3445289,0.10518177
T1040TS351_3,0.6011859,0.11555226
T1040TS351_4,0.30218622,0.046940252
T1040TS351_5,0.5631204000000001,0.28560328
T1040TS364_1,0.16730645,0.058096465
T1040TS364_2,0.20580855,0.09263895
T1040TS364_3,0.2804917,0.13771039
T1040TS364_4,0.19797671,0.1183588
T1040TS364_5,0.24542479,0.14098698
T1040TS367_1,0.27678868,0.08713927
T1040TS367_2,0.34297258,0.088357665
T1040TS367_3,0.357567,0.09869964
T1040TS367_4,0.32225958,0.08360034
T1040TS367_5,0.33399606,0.10113972
T1040TS377_1,0.21754937,0.04218479
T1040TS377_2,0.26015007,0.061133698
T1040TS435_1,0.37849483,0.14399657
T1040TS435_2,0.4164022,0.19976234
T1040TS435_3,0.29305446,0.09403091
T1040TS435_4,0.46032768,0.2027688
T1040TS435_5,0.37971956,0.11897362
T1040TS460_1,0.21827017,0.020732172
T1040TS460_2,0.21388474,0.030867841
T1040TS460_3,0.15378158,0.023913822999999997
T1040TS460_4,0.23240358,0.026358059
T1040TS460_5,0.14714357,0.02686091
T1040TS468_1,0.12630917,0.03970075
T1040TS468_2,0.19488323,0.04638591
T1040TS487_1,0.48325354,0.17466411
T1040TS487_2,0.36167726,0.10516017
T1040TS487_3,0.3971955,0.14688338
T1040TS487_4,0.5924489000000001,0.21551707
T1040TS487_5,0.38539359999999995,0.21560706
T1078TS013_1,0.47533804,0.47257453
T1078TS013_2,0.47284168,0.41694734
T1078TS013_3,0.5104608,0.41264570000000006
