,#,Group,Model,GDT_TS,LDDT,CAD(AA),SG,Target
0,1,MULTICOM-DEEP,T1024QA252_2,2.8169999999999997,4.868,7.218999999999999,29.319000000000003,T1024
1,2,MUFOLD,T1024QA081_2,3.21,6.654,9.146,31.246,T1024
2,3,MULTICOM-CONSTRUCT,T1024QA198_2,3.22,4.356,6.693,28.793000000000003,T1024
3,4,MULTICOM-AI,T1024QA275_2,3.2239999999999998,5.5920000000000005,7.896,29.996,T1024
4,5,MULTICOM-CLUSTER,T1024QA075_2,3.513,3.847,5.995,28.095,T1024
5,6,VoroMQA-dark,T1024QA002_2,3.612,4.422,6.314,28.285,T1024
6,7,ModFOLD8,T1024QA167_2,3.858,5.422999999999999,7.523,29.624000000000002,T1024
7,8,DIZ,T1024QA325_2,3.9360000000000004,6.041,7.978,30.078000000000003,T1024
8,9,VoroMQA-stout,T1024QA000_2,4.024,7.147,9.656,31.756,T1024
9,10,MUfoldQA_X,T1024QA248_2,4.255,5.945,6.9879999999999995,29.078000000000003,T1024
10,11,SASHAN,T1024QA144_2,4.261,8.773,11.276,33.376999999999995,T1024
11,12,KUHHAN,T1024QA104_2,4.261,8.773,11.276,33.376999999999995,T1024
12,13,MASS,T1024QA317_2,4.374,5.997999999999999,7.109,28.77,T1024
13,14,Ornate,T1024QA346_2,4.849,9.267000000000001,11.845,33.945,T1024
14,15,QMEANDisCo,T1024QA280_2,4.873,3.366,4.6419999999999995,26.491999999999997,T1024
15,16,VoroCNN-GEMME,T1024QA406_2,5.347,10.413,12.985999999999999,35.086,T1024
16,17,DAVIS-EMAconsensusAL,T1024QA263_2,5.412999999999999,3.014,3.529,25.624000000000002,T1024
17,18,Bhattacharya-Server,T1024QA149_2,6.32,11.839,14.475,36.659,T1024
18,19,CAO-SERVER,T1024QA305_2,6.35,8.129,9.502,30.764,T1024
19,20,P3De,T1024QA257_2,6.377000000000001,3.5610000000000004,3.927,24.405,T1024
20,21,MULTICOM-DIST,T1024QA319_2,6.627999999999999,1.814,2.41,23.86,T1024
21,22,ModFOLD8_cor,T1024QA265_2,6.897,9.668,12.192,34.293,T1024
22,23,LAW,T1024QA138_2,6.919,5.361000000000001,5.849,26.961,T1024
23,24,angleQA,T1024QA391_2,7.066,12.449000000000002,15.133,37.234,T1024
24,25,VoroCNN,T1024QA313_2,7.117000000000001,12.630999999999998,15.302999999999999,37.404,T1024
25,26,RaptorX-QA,T1024QA073_2,7.4110000000000005,10.821,13.142999999999999,34.216,T1024
26,27,ProQ4,T1024QA309_2,7.725,13.259,15.963,38.064,T1024
27,28,MULTICOM-HYBRID,T1024QA187_2,7.775,2.7239999999999998,2.1430000000000002,22.8,T1024
28,29,CAO-QA1,T1024QA217_2,8.166,4.545,3.488,23.25,T1024
29,30,ProQ2,T1024QA067_2,8.199,3.801,3.8510000000000004,22.998,T1024
30,31,ProQ3D,T1024QA339_2,8.706,4.721,4.402,21.943,T1024
31,32,graph-sh,T1024QA247_2,8.724,14.324000000000002,16.969,39.07,T1024
32,33,3DCNN_prof,T1024QA074_2,8.963,4.0889999999999995,3.363,21.936999999999998,T1024
33,34,ModFOLD8_rank,T1024QA120_2,9.261000000000001,4.1,1.954,21.144000000000002,T1024
34,35,bioinsilico_sbi,T1024QA196_2,9.582,13.315999999999999,15.863,37.815,T1024
35,36,Wallner,T1024QA379_2,9.65,4.323,3.103,20.891,T1024
36,37,VoroCNN-GDT,T1024QA153_2,9.838,15.37,18.083,40.184,T1024
37,38,MESHI_consensus,T1024QA214_2,10.519,5.189,3.1660000000000004,20.029,T1024
38,39,MUfoldQA_G,T1024QA446_2,10.989,5.567,3.536,19.357,T1024
39,40,tFold-IDT,T1024QA351_2,11.819,6.443,3.9819999999999998,18.695999999999998,T1024
40,41,GraphQA,T1024QA210_2,12.039000000000001,6.527,4.08,18.346,T1024
41,42,BAKER-experimental,T1024QA403_2,12.205,6.919,4.624,18.438,T1024
42,43,DAVIS-EMAconsensus,T1024QA433_2,12.359000000000002,7.042000000000001,4.6739999999999995,17.994,T1024
43,44,Destini,T1024QA101_2,12.529000000000002,18.045,20.775,42.875,T1024
44,45,Yang-Server,T1024QA140_2,13.149000000000001,7.638,5.979,17.197,T1024
45,46,Yang_TBM,T1024QA460_2,13.151,7.64,5.982,17.195,T1024
46,47,ModFOLDclust2,T1024QA035_2,13.395,7.95,5.407,16.951,T1024
47,48,MESHI_server,T1024QA211_2,13.936,19.451,22.182,44.282,T1024
48,49,tFold-CaT,T1024QA183_2,14.290999999999999,8.836,6.141,16.055,T1024
49,50,Bhattacharya-QDeep,T1024QA429_2,14.97,9.708,7.364,15.57,T1024
50,51,Jones-UCL,T1024QA304_2,15.137,10.208,7.718999999999999,16.275,T1024
51,52,LamoureuxLab,T1024QA066_2,15.25,18.471,20.76,42.467,T1024
52,53,BAKER-ROSETTASERVER,T1024QA209_2,15.629000000000001,10.171,7.537999999999999,14.72,T1024
53,54,EMAP_CHAE,T1024QA216_2,15.952,10.444,8.229,14.395,T1024
54,55,VoroMQA-light,T1024QA102_2,16.555999999999997,22.072,24.802,46.902,T1024
55,56,Seder2020,T1024QA005_2,16.747,11.302999999999999,8.984,13.649000000000001,T1024
56,57,tFold,T1024QA238_2,17.477999999999998,12.302,9.763,12.868,T1024
57,58,Bhattacharya-QDeepU,T1024QA199_2,20.857,26.373,29.103,51.203,T1024
58,59,MESHI_EMA,T1024QA112_2,21.135,26.65,29.381,51.481,T1024
59,60,UOSHAN,T1024QA409_2,21.646,16.131,13.4,8.7,T1024
60,61,EDN,T1024QA203_2,25.7,20.185,17.497,6.858,T1024
61,62,SBROD,T1024QA085_2,26.098000000000003,31.613000000000003,34.344,56.443999999999996,T1024
62,63,Kiharalab_Z_Server,T1024QA364_2,26.903000000000002,21.386999999999997,18.657,6.904,T1024
63,64,Kiharalab,T1024QA071_2,26.903000000000002,21.386999999999997,18.657,6.904,T1024
64,65,Seder2020hard,T1024QA428_2,32.613,27.209,24.559,5.405,T1024
65,66,bioinsilico_sbi_PAIR,T1024QA185_2,36.592,42.108000000000004,44.838,66.938,T1024
66,67,ropius0,T1024QA254_2,37.564,32.048,29.318,7.267,T1024
0,1,MUfoldQA_G,T1025QA446_2,2.906,8.883,9.02,10.616,T1025
1,2,DAVIS-EMAconsensus,T1025QA433_2,2.989,12.124,12.261,7.37,T1025
2,3,ModFOLDclust2,T1025QA035_2,3.1319999999999997,10.582,10.718,8.911,T1025
3,4,MULTICOM-HYBRID,T1025QA187_2,3.784,8.676,8.685,10.965,T1025
4,5,EMAP_CHAE,T1025QA216_2,4.198,14.3,14.436,5.255,T1025
5,6,tFold-IDT,T1025QA351_2,4.377,11.708,11.882,7.888999999999999,T1025
6,7,MULTICOM-CLUSTER,T1025QA075_2,4.381,7.742999999999999,7.88,11.75,T1025
7,8,MULTICOM-CONSTRUCT,T1025QA198_2,4.4319999999999995,8.154,8.035,11.9,T1025
8,9,BAKER-ROSETTASERVER,T1025QA209_2,4.504,9.112,9.401,10.915,T1025
9,10,tFold-CaT,T1025QA183_2,4.706,7.564,7.696000000000001,11.933,T1025
10,11,DAVIS-EMAconsensusAL,T1025QA263_2,4.825,6.417000000000001,6.444,13.198,T1025
11,12,EDN,T1025QA203_2,4.926,10.350999999999999,10.504000000000001,9.304,T1025
12,13,MULTICOM-AI,T1025QA275_2,4.962,9.636000000000001,9.517000000000001,11.405,T1025
13,14,Kiharalab,T1025QA071_2,5.16,15.65,15.786,4.636,T1025
14,15,Kiharalab_Z_Server,T1025QA364_2,5.16,15.65,15.786,4.636,T1025
15,16,KUHHAN,T1025QA104_2,5.545,6.745,6.9110000000000005,12.857000000000001,T1025
16,17,SASHAN,T1025QA144_2,5.545,6.745,6.9110000000000005,12.857000000000001,T1025
17,18,MESHI_consensus,T1025QA214_2,5.6770000000000005,5.584,5.541,14.130999999999998,T1025
18,19,MESHI,T1025QA032_2,5.797999999999999,5.644,5.468999999999999,14.257,T1025
19,20,MUfoldQA_X,T1025QA248_2,5.865,5.6129999999999995,5.54,14.229000000000001,T1025
20,21,BAKER-experimental,T1025QA403_2,5.9270000000000005,7.271,7.4639999999999995,13.485,T1025
21,22,UOSHAN,T1025QA409_2,5.97,16.386,16.523,3.813,T1025
22,23,Yang-Server,T1025QA140_2,6.205,16.137,16.274,3.9019999999999997,T1025
23,24,Destini,T1025QA101_2,6.206,6.497999999999999,6.312,13.414000000000001,T1025
24,25,Yang_TBM,T1025QA460_2,6.2170000000000005,16.153,16.29,3.8930000000000002,T1025
25,26,Bhattacharya-QDeep,T1025QA429_2,6.221,16.064,16.2,4.019,T1025
26,27,MESHI_server,T1025QA211_2,6.246,5.456,5.39,14.282,T1025
27,28,angleQA,T1025QA391_2,6.4879999999999995,6.454,6.239,13.405999999999999,T1025
28,29,MUFOLD,T1025QA081_2,7.52,5.084,4.615,15.687000000000001,T1025
29,30,QMEANDisCo,T1025QA280_2,7.778,3.458,3.844,16.224,T1025
30,31,tFold,T1025QA238_2,7.803,4.651,3.775,16.087,T1025
31,32,LAW,T1025QA138_2,7.975,18.84,18.977,2.213,T1025
32,33,Wallner,T1025QA379_2,8.156,5.635,5.773,16.618,T1025
33,34,3DCNN_prof,T1025QA074_2,8.222999999999999,18.462,18.599,3.551,T1025
34,35,MULTICOM-DIST,T1025QA319_2,8.619,4.498,3.3360000000000003,16.968,T1025
35,36,P3De,T1025QA257_2,9.095,4.1610000000000005,3.355,17.459,T1025
36,37,DeepPotential,T1025QA024_2,9.312999999999999,20.072,20.209,2.9819999999999998,T1025
37,38,ProQ3D,T1025QA339_2,9.728,3.8369999999999997,2.8339999999999996,18.123,T1025
38,39,ModFOLD8_rank,T1025QA120_2,10.015,4.511,2.294,18.452,T1025
39,40,MESHI_EMA,T1025QA112_2,10.216000000000001,4.756,2.7560000000000002,18.625,T1025
40,41,MULTICOM-DEEP,T1025QA252_2,10.221,4.656000000000001,2.7689999999999997,18.644000000000002,T1025
41,42,GraphQA,T1025QA210_2,10.764000000000001,4.376,2.984,19.187,T1025
42,43,ropius0,T1025QA254_2,11.237,22.267,22.404,3.248,T1025
43,44,ModFOLD8_cor,T1025QA265_2,12.212,3.7960000000000003,1.8159999999999998,20.675,T1025
44,45,ModFOLD8,T1025QA167_2,12.234000000000002,4.207,1.7990000000000002,20.695999999999998,T1025
45,46,CAO-QA1,T1025QA217_2,13.333,5.7410000000000005,4.523,21.758000000000003,T1025
46,47,VoroMQA-dark,T1025QA002_2,14.562999999999999,5.397,3.572,23.026,T1025
47,48,LamoureuxLab,T1025QA066_2,16.135,7.662999999999999,6.236000000000001,24.596999999999998,T1025
48,49,VoroMQA-stout,T1025QA000_2,17.085,7.132000000000001,5.937,25.546999999999997,T1025
49,50,Jones-UCL,T1025QA304_2,17.241,28.271,28.406999999999996,8.863999999999999,T1025
50,51,VoroCNN-GEMME,T1025QA406_2,17.398,7.152,6.275,25.861,T1025
51,52,SBROD,T1025QA085_2,19.434,9.94,8.626,27.896,T1025
52,53,Bhattacharya-Server,T1025QA149_2,19.822,9.552999999999999,8.789,28.439,T1025
53,54,ProQ4,T1025QA309_2,21.223000000000003,10.969000000000001,10.056000000000001,29.685,T1025
54,55,VoroCNN-GDT,T1025QA153_2,21.447,10.954,10.28,29.909000000000002,T1025
55,56,DIZ,T1025QA325_2,23.578000000000003,13.157,12.411,32.04,T1025
56,57,VoroCNN,T1025QA313_2,23.601,12.800999999999998,12.435,32.064,T1025
57,58,MASS,T1025QA317_2,24.825,14.312999999999999,13.658,33.287,T1025
58,59,Ornate,T1025QA346_2,25.039,14.248,13.873,33.501999999999995,T1025
59,60,graph-sh,T1025QA247_2,25.159000000000002,14.432,13.992,33.621,T1025
60,61,RaptorX-QA,T1025QA073_2,25.729,15.120999999999999,14.562000000000001,34.192,T1025
61,62,bioinsilico_sbi_PAIR,T1025QA185_2,25.941,15.638,14.799000000000001,34.404,T1025
62,63,CAO-SERVER,T1025QA305_2,27.173000000000002,16.868,16.006,35.635999999999996,T1025
63,64,bioinsilico_sbi,T1025QA196_2,29.916999999999998,19.233,18.766,38.379,T1025
64,65,VoroMQA-light,T1025QA102_2,32.594,21.564,21.427,41.056999999999995,T1025
65,66,Bhattacharya-QDeepU,T1025QA199_2,33.883,22.853,22.715999999999998,42.345,T1025
0,1,Yang_TBM,T1026QA460_2,3.2710000000000004,7.443,5.456,9.472999999999999,T1026
1,2,Yang-Server,T1026QA140_2,3.279,7.417000000000001,5.431,9.479,T1026
2,3,BAKER-ROSETTASERVER,T1026QA209_2,4.949,6.0120000000000005,3.3080000000000003,9.99,T1026
3,4,MESHI,T1026QA032_2,5.364,4.591,6.347,7.95,T1026
4,5,UOSHAN,T1026QA409_2,5.689,4.276,6.257999999999999,8.783,T1026
5,6,MESHI_consensus,T1026QA214_2,5.794,4.317,6.5520000000000005,8.225,T1026
6,7,MUfoldQA_G,T1026QA446_2,6.3420000000000005,4.415,7.204,8.99,T1026
7,8,EMAP_CHAE,T1026QA216_2,6.631,3.557,7.582000000000001,7.716,T1026
8,9,MULTICOM-CLUSTER,T1026QA075_2,6.6770000000000005,4.35,6.209,9.851,T1026
9,10,BAKER-experimental,T1026QA403_2,7.0089999999999995,6.117000000000001,6.796,10.739,T1026
10,11,MESHI_server,T1026QA211_2,7.024,6.775,6.702999999999999,11.075999999999999,T1026
11,12,Destini,T1026QA101_2,7.5329999999999995,6.059,6.956,11.262,T1026
12,13,tFold,T1026QA238_2,7.5329999999999995,7.796,5.75,11.3,T1026
13,14,MESHI_EMA,T1026QA112_2,7.544,6.775,5.484,11.365,T1026
14,15,VoroMQA-dark,T1026QA002_2,7.716,8.674,2.7769999999999997,13.440999999999999,T1026
15,16,MUFOLD,T1026QA081_2,7.827000000000001,8.327,4.274,13.030999999999999,T1026
16,17,VoroMQA-stout,T1026QA000_2,7.905,6.332000000000001,3.733,12.513,T1026
17,18,LamoureuxLab,T1026QA066_2,7.906000000000001,6.996,8.435,10.98,T1026
18,19,MULTICOM-AI,T1026QA275_2,8.254,4.863,7.2139999999999995,10.613,T1026
19,20,Bhattacharya-QDeep,T1026QA429_2,8.892000000000001,5.736000000000001,9.984,9.446,T1026
20,21,Ornate,T1026QA346_2,8.988,7.027,3.747,13.57,T1026
21,22,ProQ3D,T1026QA339_2,9.078,7.36,5.093,13.306,T1026
22,23,Kiharalab,T1026QA071_2,9.147,14.828,10.033,15.067,T1026
23,24,Kiharalab_Z_Server,T1026QA364_2,9.147,14.828,10.033,15.067,T1026
24,25,VoroCNN-GDT,T1026QA153_2,9.368,5.699,6.73,12.173,T1026
25,26,MULTICOM-CONSTRUCT,T1026QA198_2,9.593,4.93,9.072000000000001,10.98,T1026
26,27,VoroCNN,T1026QA313_2,9.682,6.278,5.881,12.972000000000001,T1026
27,28,DIZ,T1026QA325_2,9.868,11.569,4.651,15.856,T1026
28,29,angleQA,T1026QA391_2,10.249,7.124,8.757,11.794,T1026
29,30,graph-sh,T1026QA247_2,10.385,6.3870000000000005,6.336,13.408,T1026
30,31,MULTICOM-HYBRID,T1026QA187_2,10.452,5.905,8.793,12.642000000000001,T1026
31,32,EDN,T1026QA203_2,10.495,12.874,11.038,14.164000000000001,T1026
32,33,DeepPotential,T1026QA024_2,10.535,9.855,7.199,13.797,T1026
33,34,tFold-CaT,T1026QA183_2,10.725,15.307,8.679,16.869,T1026
34,35,ModFOLD8_rank,T1026QA120_2,11.222000000000001,6.544,8.124,13.398,T1026
