,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,N1,N2,DIST,N,RMSD,GDT_TS,LGA_S3,LGA_Q,Target
T1024TS033_4,0.30186,0.384115,0.504,0.271,0.394,0.27209,0.4103,0.4281,0.3368676,0.38797647,0.466,0.323,0.354,,0.422,0.194353,033s,100.0,453.0,,-1.38,17.2,5.99,11.57,8.674,9.482,391.0,0.0,12.53,53.45,60.61,35.512,2.58,7.09,21.9,328.0,4.3,3.62,0.38,39.77,0.47,0.42,0.76,0.77,0.83,63.0,6.35,62.13,55.59,0.61,2511.1,22.56,61.92,0.13,150.85,4.11,3.45,91.13,408.0,391.0,4.0,152.0,2.7,34.463,29.122,5.432,T1024
T1024TS063_2,0.23110,0.295304,0.324,0.183,0.257,0.20866,0.3237,0.3054,0.2597038,0.32724366,0.378,0.305,0.317,,0.381,0.152661,063s,100.0,479.0,,-1.88,14.32,4.77,7.93,16.449,17.008,391.0,9.0,19.69,38.36,45.27,29.993,2.42,4.02,10.7,215.0,3.8,3.96,0.31,27.62,0.43,0.34,0.38,1.36,0.64,62.0,5.99,43.48,51.49,0.48,1337.7,79.55,74.03,0.11,195.69,6.45,3.69,88.18,408.0,391.0,4.0,115.0,2.95,28.005,22.612,3.768,T1024
T1024TS277_2,0.16753,0.33899,0.389,0.244,0.366,0.25113,0.3646,0.4034,0.2786904,0.3537197,0.432,0.327,0.328,,0.431,0.129942,277s,100.0,475.0,,-1.76,15.6,5.51,11.64,10.763,11.472,391.0,0.0,18.16,50.9,62.15,39.152,2.52,6.78,21.4,323.0,3.9,3.79,0.35,33.89,0.46,0.38,0.58,1.12,0.76,75.0,6.47,54.52,54.75,0.53,2445.5,59.19,66.98,0.12,173.5,7.04,2.71,92.86,408.0,391.0,4.0,134.0,2.57,29.54,25.428,5.018,T1024
T1024TS033_1,0.33076,0.379169,0.408,0.283,0.343,0.30486,0.4853,0.4600,0.3261992,0.43866768,0.514,0.346,0.375,,0.429,0.141449,033s,100.0,447.0,-1.13,-1.13,18.03,7.69,12.88,7.159,7.691,391.0,1.0,23.79,59.59,61.38,35.186,2.58,6.14,20.6,330.0,4.5,3.32,0.45,54.09,0.5,0.51,0.84,0.59,0.85,75.9,5.73,67.76,63.56,0.66,2373.6,11.58,57.08,0.19,152.08,2.05,0.74,93.1,408.0,391.0,4.0,165.0,2.76,37.66,32.962,5.779,T1024
T1024TS324_5,0.34936,0.524294,0.535,0.334,0.570,0.14680,0.4716,0.4471,0.4815882,0.38312516,0.55,0.431,0.471,,0.486,0.274178,324s,100.0,487.0,,-2.67,10.87,2.95,5.64,17.401,17.718,391.0,1.0,14.58,17.39,20.46,16.125999999999998,2.12,0.36,22.6,367.0,17.2,2.37,0.47,44.63,0.52,0.5,0.91,1.73,0.16,76.6,6.35,50.06,67.98,0.32,2584.8,8.22,42.78,0.17,5.86,4.11,3.94,88.67,408.0,391.0,4.0,72.0,2.67,17.839000000000006,15.65,2.599,T1024
T1024TS170_2,0.17214,0.321471,0.361,0.249,0.306,0.18756,,,0.2660068,0.32694507,0.453,0.376,0.387,,0.464,0.166770,170s,100.0,483.0,,-2.21,10.42,2.59,5.04,18.798,19.075,391.0,0.0,2.05,49.1,56.78,36.69300000000001,2.53,6.31,18.9,277.0,3.6,0.87,0.33,27.88,0.47,0.35,0.55,1.24,0.55,60.6,6.92,47.22,52.15,0.44,1416.2,81.65,,0.11,0.0,1.47,0.0,96.31,408.0,391.0,4.0,88.0,3.01,23.785,19.047,2.8280000000000003,T1024
T1024TS277_1,0.24525,0.347126,0.403,0.261,0.324,0.25223,0.3664,0.4214,0.2919505,0.3631323,0.462,0.356,0.359,,0.452,0.134620,277s,100.0,462.0,-1.53,-1.53,17.58,6.79,10.7,10.276,10.911,391.0,1.0,23.27,51.15,80.56,53.146,2.25,10.19,34.8,369.0,3.2,3.6,0.37,37.47,0.49,0.42,0.63,0.95,0.77,61.6,7.24,60.41,57.29,0.55,3847.9,46.87,67.3,0.15,159.32,4.69,3.2,93.35,408.0,391.0,4.0,131.0,2.69,32.481,27.034,4.7,T1024
T1024TS033_5,0.38248,0.358204,0.487,0.284,0.425,0.27261,0.4739,0.4314,0.3206902,0.41999006,0.516,0.351,0.366,,0.43,0.162241,033s,100.0,461.0,,-1.47,16.43,6.44,11.34,8.187999999999999,8.921,391.0,1.0,19.18,46.04,54.22,33.318000000000005,2.52,5.66,15.2,271.0,4.2,3.58,0.43,53.58,0.5,0.51,0.84,0.56,0.84,66.8,6.58,62.72,61.59,0.58,1363.9,20.63,68.08,0.19,143.91,4.11,1.72,91.63,408.0,391.0,4.0,139.0,2.7,33.312,27.19,4.964,T1024
T1024TS151_3,0.31473,0.452753,0.382,0.291,0.347,0.26893,0.4165,0.4072,0.4214937,0.41801104,0.496,0.376,0.406,,0.475,0.152474,151s,100.0,450.0,,-1.19,19.69,9.92,14.85,7.4,8.217,391.0,1.0,27.62,62.15,75.7,49.408,2.37,9.46,28.9,355.0,3.4,3.19,0.41,46.8,0.51,0.47,0.82,0.64,0.82,65.8,6.92,66.07,60.12,0.64,1827.9,17.49,,0.18,44.68,2.35,8.13,76.35,408.0,391.0,4.0,162.0,2.44,36.893,32.506,6.377000000000002,T1024
T1024TS151_1,0.39376,0.477387,0.520,0.337,0.479,0.29009,0.4696,0.4443,0.4442972,0.45273224,0.528,0.363,0.425,,0.481,0.198696,151s,100.0,438.0,-0.79,-0.8,24.81,12.42,20.38,7.857,8.66,391.0,0.0,40.15,58.57,78.77,49.594,2.28,10.49,30.5,354.0,3.1,2.76,0.43,48.34,0.53,0.49,0.79,0.7,0.82,73.4,6.81,67.04,63.79,0.66,3415.5,23.85,,0.21,40.06,1.17,1.48,86.95,408.0,391.0,4.0,212.0,2.37,42.008,36.901,8.578,T1024
