,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,target
T1024TS075_1,0.66066,0.586251,0.649,0.467,0.598,0.64812,0.6782,0.6175,0.567581,0.581992,0.633,0.433,0.479,,0.507,0.264180,075s,47.06,100.0,394.0,-0.4,-0.4,25.0,13.49,18.66,5.273,5.58,391.0,1.0,35.29,60.36,65.73,45.2,2.46,6.01,22.5,298.0,3.9,2.78,0.56,84.27,0.63,0.68,0.93,0.21,0.9,92.8,7.02,78.93,79.23,0.71,1371.2,7.2,69.89,0.34,98.17,0.0,1.23,95.32,T1024
T1024TS050_4,0.56958,0.540781,0.579,0.416,0.547,0.62409,0.6012,0.5421,0.5320192,0.570982,0.606,0.392,0.403,,0.475,0.217539,050s,50.26,100.0,355.0,,-0.16,27.88,13.19,18.45,4.944,5.402,391.0,0.0,41.69,62.4,67.26,48.721,2.36,7.34,27.9,359.0,4.0,3.48,0.56,76.22,0.58,0.65,0.93,0.29,0.9,82.9,6.58,78.58,76.51,0.74,3138.0,6.1,80.3,0.31,129.74,4.11,2.22,93.1,T1024
T1024TS211_4,0.56007,0.531768,0.584,0.419,0.541,0.61050,0.6253,0.5918,0.4923195,0.53613245,0.648,0.448,0.490,,0.504,0.223293,211s,46.04,91.82,407.0,,-0.48,25.7,16.57,21.51,4.891,5.297999999999999,359.0,0.0,37.85,61.13,61.89,46.601000000000006,2.48,6.13,25.2,314.0,4.2,3.77,0.54,75.23,0.57,0.63,0.79,0.32,0.78,75.66,6.92,66.4,72.77,0.67,2840.3,4.91,64.19,0.31,69.96,10.9,5.11,84.68,T1024
T1024TS367_5,0.69797,0.684465,0.646,0.601,0.610,0.68982,0.7432,0.7308,0.6138753,0.5789794,0.682,0.459,0.499,,0.531,0.441838,367s,60.93,100.0,112.0,,0.67,37.6,24.44,32.97,3.372,3.745,391.0,8.0,56.78,83.38,83.38,57.122,2.37,11.4,42.3,381.0,3.1,2.0,0.66,93.73,0.68,0.74,0.97,0.12,0.94,90.8,7.13,87.75,84.86,0.85,4656.4,3.07,,0.44,20.08,0.59,1.23,96.8,T1024
T1024TS278_1,0.69687,0.750612,0.716,0.487,0.738,0.68287,0.7267,0.6677,0.7028746,0.5572151,0.745,0.513,0.577,,0.552,0.298297,278s,59.91,100.0,178.0,0.59,0.59,38.24,23.05,31.25,3.975,4.331,391.0,0.0,58.31,77.24,78.26,59.275,2.17,9.8,39.8,380.0,3.7,0.8,0.66,88.88,0.67,0.74,0.96,0.17,0.92,74.3,7.44,86.69,83.73,0.82,4387.8,2.99,77.01,0.4,0.62,0.29,0.0,97.54,T1024
T1024TS222_2,0.68129,0.568595,0.712,0.569,0.646,0.73438,0.6273,0.5489,0.6245084,0.5950767,0.677,0.454,0.509,,0.535,0.358670,222s,59.46,100.0,194.0,,0.56,36.26,21.62,31.73,3.665,4.073,391.0,22.0,58.31,82.61,83.63,60.87,2.14,10.28,41.3,388.0,3.5,3.16,0.63,90.15,0.65,0.73,0.97,0.15,0.93,91.7,6.81,87.78,83.54,0.84,4550.5,2.9,,0.38,53.31,4.69,3.45,92.86,T1024
T1024TS364_2,0.64702,0.617332,0.732,0.527,0.664,0.66607,0.7276,0.6666,0.6092444,0.5640955,0.717,0.475,0.536,,0.535,0.311144,364s,60.81,100.0,125.0,,0.66,37.59,23.71,31.75,3.27,3.631,391.0,1.0,66.5,85.93,85.93,60.547,2.24,11.4,40.6,387.0,3.2,3.38,0.65,90.54,0.66,0.74,0.97,0.15,0.94,87.9,7.64,87.75,84.11,0.86,4481.7,2.22,,0.38,80.59,3.81,4.43,89.41,T1024
T1024TS138_4,0.64629,0.647247,0.705,0.477,0.602,0.68469,0.7029,0.6494,0.6458911,0.54269606,0.660,0.435,0.488,,0.509,0.251918,138s,54.67,100.0,332.0,,0.19,32.61,15.85,26.09,4.601,4.996,391.0,1.0,48.08,69.82,72.63,54.081,2.19,8.38,33.3,358.0,3.9,3.06,0.6,84.78,0.64,0.69,0.95,0.18,0.91,84.6,7.24,83.74,81.44,0.78,3675.8,3.52,76.19,0.33,18.8,15.54,3.94,94.33,T1024
T1024TS460_4,0.53549,0.541527,0.597,0.373,0.555,0.62518,0.6188,0.5541,0.5418726,0.5302342,0.607,0.403,0.477,,0.488,0.187404,460s,54.35,100.0,335.0,,0.16,32.16,19.56,27.64,4.521,5.02,391.0,0.0,54.22,76.98,78.26,55.315,2.26,9.97,33.5,377.0,3.7,3.11,0.54,78.0,0.6,0.66,0.95,0.27,0.9,79.8,7.02,80.59,74.66,0.79,1429.6,4.84,74.21,0.32,71.37,2.35,2.96,91.38,T1024
T1024TS138_1,0.62004,0.66223,0.728,0.482,0.659,0.69704,0.7283,0.6587,0.666716,0.5592464,0.658,0.437,0.498,,0.508,0.266942,138s,56.71,100.0,285.0,0.34,0.34,34.4,15.84,25.92,4.368,4.798,391.0,1.0,49.36,71.61,73.15,55.015,2.22,9.11,33.4,369.0,4.0,3.04,0.6,84.66,0.63,0.68,0.95,0.2,0.92,84.9,7.24,84.82,81.59,0.79,3709.0,2.77,77.61,0.32,17.1,13.49,3.45,92.86,T1024
